supplier_id,name,category,country,onboarded_date,years_in_business,tier,on_time_delivery_rate,avg_delivery_delay_days,defect_rate,order_volume_monthly,fulfillment_rate,return_rate,payment_delay_days,credit_score,debt_to_equity,current_ratio,revenue_growth_pct,cash_runway_months,complaints_last_90d,contract_renewal_rate,quality_audit_score,defaulted
HIST-00001,Queen Solutions 0001,Machinery,China,2018-03-31,22.4,1,0.894,2.0,0.0026,3139,0.908,0.0499,6.4,673,0.4,1.96,3.2,8.6,1,0.753,82.4,0
HIST-00002,Apex Manufacturing 0002,Logistics,Germany,2023-12-20,14.7,3,0.935,0.9,0.0525,3552,0.929,0.1206,5.3,694,2.06,1.28,9.0,6.5,1,0.906,94.6,0
HIST-00003,Hammer Solutions 0003,Machinery,Mexico,2019-09-16,7.6,2,0.82,3.0,0.0233,4655,0.907,0.0266,4.4,743,0.64,1.29,-3.3,12.3,3,0.839,88.3,0
HIST-00004,Acme Industries 0004,Packaging,Brazil,2022-12-26,11.6,2,0.877,14.3,0.016,627,0.892,0.0344,14.7,693,1.2,1.1,2.5,6.4,3,0.801,72.9,0
HIST-00005,Rand LLC 0005,Food,Vietnam,2021-05-22,14.7,3,0.825,8.0,0.0486,2256,0.866,0.0479,10.6,702,1.86,0.96,-0.8,8.1,3,0.842,74.6,0
HIST-00006,Bugle Supply Co 0006,Raw Materials,China,2020-02-18,11.6,2,0.932,5.7,0.0857,1392,0.784,0.0906,9.8,633,0.88,0.49,4.6,6.7,4,0.764,71.7,0
HIST-00007,Vandelay Supply Co 0007,Textiles,Germany,2018-01-01,3.0,2,0.891,1.9,0.0298,11308,1.0,0.0178,5.4,653,0.87,1.98,9.4,7.3,3,0.894,79.5,0
HIST-00008,Duff Partners 0008,Electronics,Brazil,2018-10-20,6.1,3,0.811,4.0,0.0282,2408,0.891,0.0347,0.0,781,0.05,2.68,14.6,15.6,2,0.957,97.2,0
HIST-00009,Pearson LLC 0009,Chemicals,Turkey,2023-11-26,9.1,2,0.828,1.1,0.0183,3978,0.921,0.034,17.1,640,1.62,1.09,2.1,7.9,3,0.733,84.1,0
HIST-00010,Umbrella Manufacturing 0010,Machinery,USA,2021-10-12,5.7,3,0.823,1.8,0.0426,3616,0.841,0.0253,10.2,673,1.31,0.74,0.2,0.8,1,0.761,86.1,0
HIST-00011,Pinnacle Holdings 0011,Chemicals,Germany,2021-12-27,13.4,2,0.968,0.3,0.0411,4196,0.837,0.0606,6.3,749,0.54,2.3,5.4,11.5,1,0.916,98.3,0
HIST-00012,Acme Trading 0012,Logistics,Japan,2019-07-25,11.2,2,0.926,2.8,0.0191,1656,0.918,0.0154,0.0,680,0.05,2.18,-0.4,12.7,1,0.868,84.8,0
HIST-00013,Oscorp Logistics 0013,Machinery,USA,2020-03-20,31.1,1,0.888,1.6,0.0458,8689,0.9,0.0346,7.7,680,0.05,1.42,9.8,0.5,1,0.884,89.6,0
HIST-00014,Vortex Industries 0014,Packaging,Brazil,2022-04-06,8.3,1,0.778,2.8,0.0137,872,0.88,0.0355,6.9,690,0.83,0.2,0.9,1.7,4,0.817,74.2,0
HIST-00015,Queen Group 0015,Logistics,Japan,2018-10-17,9.6,2,0.869,1.2,0.0251,4790,0.788,0.0441,47.6,691,1.62,1.83,13.2,11.2,1,0.794,79.0,0
HIST-00016,Vertex Corp 0016,Logistics,Poland,2020-06-18,28.7,3,0.867,1.4,0.0401,4464,0.934,0.0724,10.4,739,1.04,1.62,5.4,13.3,1,0.92,88.3,0
HIST-00017,Hardman Solutions 0017,Food,Japan,2021-04-03,19.2,1,0.91,5.8,0.0455,5987,0.791,0.0506,5.0,669,2.22,0.58,-2.5,0.5,5,0.697,74.8,1
HIST-00018,Zenith Worldwide 0018,Packaging,USA,2024-10-16,5.3,3,0.871,1.7,0.0549,720,0.836,0.0308,8.1,655,0.72,1.59,-7.8,2.8,6,0.875,76.2,0
HIST-00019,Cooper Trading 0019,Food,Turkey,2022-09-10,17.5,2,0.692,1.8,0.0481,2535,0.817,0.1206,7.6,585,1.37,1.32,-9.9,2.9,5,0.599,89.1,1
HIST-00020,Dunder Corp 0020,Raw Materials,Vietnam,2020-07-02,5.8,2,0.668,12.6,0.0194,2114,0.889,0.0336,8.7,595,1.99,1.15,-3.2,0.5,6,0.708,88.9,1
HIST-00021,Zenith Trading 0021,Food,Poland,2020-01-20,14.7,3,0.723,1.9,0.0378,7089,0.797,0.0251,16.4,540,1.71,0.65,5.3,0.5,3,0.626,63.8,1
HIST-00022,Yutani Solutions 0022,Food,Turkey,2022-05-08,41.5,3,0.843,3.4,0.0282,11048,0.855,0.0532,3.2,742,0.79,1.56,9.5,4.6,1,0.824,75.6,0
HIST-00023,Compu Logistics 0023,Logistics,Germany,2023-04-24,9.4,2,0.749,3.2,0.0227,3298,0.896,0.0395,11.4,611,1.02,0.9,-3.7,2.9,2,0.721,70.0,0
HIST-00024,Pym International 0024,Packaging,USA,2023-12-09,20.1,2,0.852,4.6,0.0535,7863,0.886,0.0462,0.1,714,0.35,1.55,3.4,8.7,0,0.995,85.0,0
HIST-00025,Dunder LLC 0025,Packaging,India,2018-10-31,16.4,1,0.977,0.3,0.0027,15832,0.866,0.0815,22.2,715,0.31,1.63,0.3,10.3,2,0.954,92.5,0
HIST-00026,Nakatomi Supply Co 0026,Packaging,Germany,2023-11-27,27.5,2,0.903,2.7,0.0358,686,0.951,0.0332,11.3,700,1.12,2.46,2.0,1.4,3,0.867,89.5,0
HIST-00027,Dunder Manufacturing 0027,Textiles,Japan,2018-06-01,7.8,2,0.642,4.0,0.0275,1043,0.785,0.0414,7.7,652,1.93,0.46,-4.3,0.5,3,0.668,72.9,0
HIST-00028,Aperture Group 0028,Electronics,USA,2018-01-08,11.9,2,0.863,0.6,0.0465,5377,0.885,0.048,2.0,689,1.53,1.15,-0.7,2.1,0,0.841,79.8,0
HIST-00029,Apex Limited 0029,Machinery,India,2023-05-07,17.2,2,0.876,0.3,0.0134,5771,0.914,0.0377,11.3,683,1.29,1.56,6.6,4.5,3,0.859,83.7,0
